Time (S),Current Ch1,Voltage Ch1
584.0,4.0824107135,-0.0121177084
585.0,4.0830547353,-0.012127368728
586.0,4.0827327244,-0.011953482829999999
587.0,4.0820887026,-0.012033985561
588.0,4.0830547353,-0.012185330694000001
589.0,4.0824107135,-0.012011444796
590.0,4.0824107135,-0.012298034516
591.0,4.0824107135,-0.012098387745000001
592.0,4.0830547353,0.0
593.0,4.0830547353,-0.012211091567000001
594.0,4.0827327244,-0.012127368728
595.0,4.0827327244,-0.012040425778999999
596.0,4.0827327244,-0.012017885015
597.0,4.0824107135,-0.012252952987
598.0,4.0830547353,-0.012024325233
599.0,4.0830547353,-0.011943822502999999
600.0,4.0824107135,-0.012005004578
601.0,4.0824107135,-0.012133808946
602.0,4.0830547353,-0.011940602393999999
603.0,4.0827327244,-0.012140249165
604.0,4.0827327244,-0.012024325233
605.0,4.0830547353,-0.012005004578
606.0,4.0830547353,-0.012140249165
607.0,4.0827327244,-0.012133808946
608.0,4.0827327244,-0.011985683923
609.0,4.0830547353,-0.012166010037999999
610.0,4.0827327244,-0.011924501848
611.0,4.0830547353,-0.011927721956999999
612.0,4.0824107135,-0.011921281738
613.0,4.0830547353,-0.011837558899000001
614.0,4.0827327244,-0.012130588837
615.0,4.0827327244,-0.012085507308000001
616.0,4.0830547353,-0.011818238243999999
617.0,4.0827327244,-0.011947042612
618.0,4.0827327244,-0.011831118679999999
619.0,4.0824107135,-0.011811798025
620.0,4.0830547353,-0.011959923049000001
621.0,4.0824107135,-0.011892300755
622.0,4.0833767462,-0.011779596933
623.0,4.0824107135,-0.011914841519999999
624.0,4.0824107135,-0.011795697479
625.0,4.0824107135,-0.011905181192
626.0,4.0830547353,-0.011953482829999999
627.0,4.0827327244,-0.011979243704
628.0,4.0830547353,-0.01207584698
629.0,4.0824107135,-0.011805357807
630.0,4.0824107135,-0.012040425778999999
631.0,4.0827327244,-0.011843999116999999
632.0,4.0824107135,-0.011934162175
633.0,4.0827327244,-0.01195670294
634.0,4.0827327244,-0.011930942066
635.0,4.0824107135,-0.01199534425
636.0,4.0827327244,-0.011869759991
637.0,4.0830547353,-0.011898740974
638.0,4.0824107135,-0.011763496387000002
639.0,4.0824107135,-0.011934162175
640.0,4.0827327244,-0.011905181192
641.0,4.0827327244,-0.011805357807
642.0,4.0820887026,-0.011992124141
643.0,4.0827327244,-0.011847219226
644.0,4.0824107135,-0.012005004578
645.0,4.0824107135,-0.011895520865
646.0,4.0820887026,-0.011927721956999999
647.0,4.0830547353,-0.011898740974
648.0,4.0824107135,-0.011937382284
649.0,4.0827327244,-0.011776376824000002
650.0,4.0824107135,-0.011885860537
651.0,4.0824107135,-0.011779596933
652.0,4.0833767462,-0.011905181192
653.0,4.0824107135,-0.011969583376
654.0,4.0827327244,-0.01179247737
655.0,4.0830547353,-0.011686213766
656.0,4.0830547353,-0.011650792565000002
657.0,4.0827327244,-0.011737735513000001
658.0,4.0824107135,-0.011885860537
659.0,4.0830547353,-0.011724855076
660.0,4.0827327244,-0.011789257260999999
661.0,4.0830547353,-0.011824678462
662.0,4.0827327244,-0.011901961083000002
663.0,4.0827327244,-0.011644352346
664.0,4.0830547353,-0.011834338790000001
665.0,4.0827327244,-0.011747395841
666.0,4.0830547353,-0.011750615950000001
667.0,4.0827327244,-0.01167011322
668.0,4.0824107135,-0.011750615950000001
669.0,4.0830547353,-0.011579950161999999
670.0,4.0827327244,-0.011827898570999999
671.0,4.0824107135,-0.011750615950000001
672.0,4.0824107135,-0.011666893111
673.0,4.0827327244,-0.011856879554
674.0,4.0830547353,-0.011644352346
675.0,4.0830547353,-0.011811798025
676.0,4.0824107135,-0.011895520865
677.0,4.0820887026,-0.011789257260999999
678.0,4.0827327244,-0.011747395841
679.0,4.0827327244,-0.011779596933
680.0,4.0827327244,-0.011744175732
681.0,4.0830547353,-0.011724855076
682.0,4.0824107135,-0.011715194748999999
683.0,4.0827327244,-0.011744175732
684.0,4.0830547353,-0.011779596933
685.0,4.0827327244,-0.011805357807
686.0,4.0820887026,-0.011583170271
687.0,4.0827327244,-0.011634692019
688.0,4.0830547353,-0.011699094203
689.0,4.0830547353,-0.011821458353
690.0,4.0827327244,-0.011731295295
691.0,4.0827327244,-0.011567069725
692.0,4.0827327244,-0.011637912128000001
693.0,4.0830547353,-0.011480126775999999
694.0,4.0830547353,-0.011802137697999999
695.0,4.0824107135,-0.011666893111
696.0,4.0824107135,-0.011679773548
697.0,4.0827327244,-0.011502667541
698.0,4.0830547353,-0.011641132237
699.0,4.0827327244,-0.011705534420999999
700.0,4.0830547353,-0.011718414857999999
701.0,4.0827327244,-0.011757056169
702.0,4.0830547353,-0.011657232783
703.0,4.0824107135,-0.011689433874999999
704.0,4.0833767462,-0.011612151254000001
